173
3001  1-H-H2O 	M Hydrogen-bound-in-water
5001  1-H-ZrH 	M Hydrogen-bound-in-ZrH
3002  1-D-D2O 	M Deuterium-bound-in-D2O
3     2-He-3 	S Helium-3
4     2-He-4 	S Helium-4
6     3-Li-6 	S Lithium-6
7     3-Li-7 	S Lithium-7
9     Be-nat 	S Beryllium
10    5-B-10 	B Boron-10(burnable)
1010  5-B-10 	S Boron-10(unburnable)
11    5-B-11 	B Boron-11(burnable)
1011  5-B-nat 	S Natural-Boron(unburnable)
2012  6-C-nat 	M Graphite
14    7-N-nat 	S Nitrogen
6016  8-O-nat 	S Oxygen
19    9-F-nat 	S Fluorine
23    Na-nat 	S Sodium
24    Mg-nat 	S Magnesium
27    Al-nat 	S Aluminium
29    Si-nat 	S Silicon
31    P-nat 	S Phosphorus
32    S-nat 	S Sulphur
35    Cl-nat 	S Chlorine
40    Ca-nat 	S Calcium
48    Ti-nat 	S Titanium
51    V-nat 	S Vanadium
52    Cr-nat 	S Chromium
55    Mn-nat 	S Manganese
2056  Fe-nat 	S Iron
58    Ni-nat 	S Nickel
1059  Co-59 	S Cobalt
3063  Cu-nat 	S Copper
91    Zr-nat 	S Zirconium
93    Nb-93 	S Niobium
96    Mo-nat 	S Molybdenum
3109  Ag-nat 	S Silver(control-rod-material)
2113  Cd-nat 	S Cadmium(control-rod-material)
2115  In-nat 	S Indium(control-rod-material)
118   Sn-nat 	S Tin
121   Sb-121 	S Antimony-121
123   Sb-123 	S Antimony-123
152   Eu-nat 	S Europium(control-rod-material)
2154  Gd-154 	B/FP Gadolinium-154(burnable-absorber)
2155  Gd-155 	B/FP Gadolinium-155(burnable-absorber)
2156  Gd-156 	B/FP Gadolinium-156(burnable-absorber)
2157  Gd-157 	B/FP Gadolinium-157(burnable-absorber)
2158  Gd-158 	B/FP Gadolinium-158(burnable-absorber)
160   Dy-160 	B/FP Dysprosium-160
161   Dy-161 	B/FP Dysprosium-161
162   Dy-162 	B/FP Dysprosium-162
163   Dy-163 	B/FP Dysprosium-163
164   Dy-164 	B/FP Dysprosium-164
165   Ho-165 	B/FP Holmium-165
2166  Er-166 	B Erbium-166(burnable-absorber)
2167  Er-167 	B Erbium-167(burnable-absorber)
2176  Hf-176 	B Hafnium-176(burnable-absorber)
2177  Hf-177 	B Hafnium-177(burnable-absorber)
2178  Hf-178 	B Hafnium-178(burnable-absorber)
2179  Hf-179 	B Hafnium-179(burnable-absorber)
2180  Hf-180 	B Hafnium-180(burnable-absorber)
178   Hf-nat 	S Natural-Hafnium(unburnable)
181   Ta-nat 	S Tantalum
183   W-nat 	S Tungsten
207   Pb-nat 	S Lead
4083  Kr-83 	FP Krypton-83
4095  Mo-95 	FP Molybdenum-95
4099  Tc-99 	FP Technetium-99
4101  Ru-101 	FP Ruthenium-101
5103  Ru-103 	FP Ruthenium-103
4106  Ru-106 	FP Ruthenium-106
4103  Rh-103 	FP Rhodium-103
4105  Rh-105 	FP Rhodium-105
5105  Pd-105 	FP Paladium-105
4107  Pd-107 	FP Paladium-107
4108  Pd-108 	FP Paladium-108
4109  Ag-109 	FP Silver-109
4113  Cd-113 	FP Cadmium-113
4115  In-115 	FP Indium-115
4125  Sb-125 	FP Antimony-125
5127  Te-127 	FP Telurium-127m
4127  I-127 	FP Iodine-127
4131  Xe-131 	FP Xenon-131
4133  Cs-133 	FP Cesium-133
4134  Cs-134 	FP Cesium-134
4137  Cs-137 	FP Cesium-137
6135  I-135 	FP Iodine-135
5134  Xe-134 	FP Xenon-134
4135  Xe-135 	FP Xenon-135
5135  Cs-135 	FP Cesium-135
4136  Xe-136 	FP Xenon-136
4143  Nd-143 	FP Neodinium-143
